group,lag,acf,pacf
all,0,1.0,1.0
all,1,0.19563185691723714,0.19563185691723714
all,2,0.147725170288744,0.11380902578882691
all,3,0.38959988123760947,0.35998610506025236
all,4,0.1682041681193936,0.04672211727004631
all,5,-0.0245911250973348,-0.15104211047158117
all,6,0.03063625021795658,-0.12938034648984942
all,7,0.03980877272499837,-0.017837932414324638
all,8,0.01179868361580735,0.09408996923709038
all,9,-0.0071722105035925314,0.05601376187132579
all,10,-0.014497913493010132,-0.029281146383378875
all,11,-0.00682773069178189,-0.05926232891928025
all,12,-0.006011270537528509,-0.0249554924800581
all,13,-0.003497613074493327,0.03316578865258684
all,14,-0.014455713576292434,0.0223004021408826
all,15,-0.0024258041675348325,0.006753987970392233
all,16,-0.0017408988300542509,-0.022590828914362374
all,17,-0.0075818516829668685,-0.016976982687879946
all,18,-0.0111883120855975,-0.006345936592995286
all,19,-0.004298142352265355,0.010413240427834002
all,20,-0.014225012936499032,-0.004706374010528304
all,21,-0.015167748196930762,-0.009881180101519503
all,22,-0.009637336672012392,-0.008185355840314698
all,23,-0.015073321116961247,-0.00625948941433344
all,24,-0.009624280030501782,0.006755988912396792
all,25,-0.009948657462399738,-0.0006696175618589919
all,26,-0.010325740001785107,-0.0036944070899647247
all,27,-0.007174237154760904,-0.005310551014501919
all,28,-0.0009220690209359683,0.004338300967286649
all,29,-0.011202294821594568,-0.006232005938619547
all,30,-0.0011613600914060086,0.004990321873892789
Hs3,0,1.0,1.0
Hs3,1,0.16286821871331297,0.16286821871331297
Hs3,2,0.19527510085100347,0.17334726351931218
Hs3,3,0.3496210388323666,0.3125296821817242
Hs3,4,0.18339443624954133,0.09240583894330706
Hs3,5,-0.03599513666081165,-0.1914665956647168
Hs3,6,0.04653851930490817,-0.10686620545763868
Hs3,7,0.01735015043892054,-0.04194755453279527
Hs3,8,0.01395203301400206,0.10195788035359284
Hs3,9,-0.009912921917255912,0.05949688979130498
Hs3,10,-0.026687053007208354,-0.04046181645506312
Hs3,11,-0.00913528325548596,-0.05450603389674757
Hs3,12,-0.005706409678641782,-0.02559526929728615
Hs3,13,-0.0036060998249105984,0.043291339024543414
Hs3,14,-0.02361855731429661,0.013258208987291464
Hs3,15,0.007557712522850488,0.011956889375276808
Hs3,16,0.008634507738397296,-0.009276821835984803
Hs3,17,-0.0026494639037169575,-0.011678631311872323
Hs3,18,-0.010117540988374325,-0.011329457249831518
Hs3,19,0.010459370790318324,0.008539106155303258
Hs3,20,-0.008989394332545298,-0.004264690710797987
Hs3,21,-0.0067413456812128875,-0.0008867218420811353
Hs3,22,-0.006866997136944189,-0.006624252596553074
Hs3,23,-0.003321140914260161,-0.0004590955059397228
Hs3,24,-0.0031717401155794576,0.005056610238609497
Hs3,25,-0.0014475274535162598,0.003921158983420937
Hs3,26,-0.0036912626434618895,-0.0014902584130084442
Hs3,27,-0.0011424065473825628,-0.004776916063619488
Hs3,28,0.011936305350057713,0.012987645710385224
Hs3,29,-0.0013923872097101376,0.000502360196064335
Hs3,30,0.005314732042090207,0.004643191127584021
Hs5,0,1.0,1.0
Hs5,1,0.18853749365883657,0.18853749365883657
Hs5,2,0.13122163311712645,0.09920150151780636
Hs5,3,0.3954708764598282,0.37119965064538596
Hs5,4,0.15104292850004541,0.028797376721292595
Hs5,5,-0.02295501238766566,-0.13243650162377685
Hs5,6,0.024693454769775025,-0.13995706310988765
Hs5,7,0.046218343134139916,0.0007457910694644338
Hs5,8,0.009477245621424246,0.0847297222722659
Hs5,9,0.001239090349411233,0.06644856577763959
Hs5,10,-0.011875226522532662,-0.0365029274054073
Hs5,11,-0.0074097504546343,-0.06103788114568549
Hs5,12,-0.0055675283382375955,-0.02985218160627433
Hs5,13,0.0009196913218922815,0.039481388632677174
Hs5,14,-0.014444862144392275,0.024788295078856225
Hs5,15,-0.006042335037059545,0.004395324706861698
Hs5,16,-0.0009722377099217958,-0.027158194950142444
Hs5,17,-0.007328162807385208,-0.01803201730256758
Hs5,18,-0.012592646605249527,-0.004557242334876668
Hs5,19,-0.012896908847044813,0.004275195108512215
Hs5,20,-0.01501446376639937,-0.004441408864639791
Hs5,21,-0.02064776314859307,-0.015790672182210606
Hs5,22,-0.01597237142913927,-0.008638969238456298
Hs5,23,-0.02316641824560607,-0.01129454772471213
Hs5,24,-0.013935774900705411,0.007384927276853424
Hs5,25,-0.020417627337749544,-0.009033666718487647
Hs5,26,-0.01693556253376042,-0.003509798742467701
Hs5,27,-0.007521304791285874,-0.0003037247829229374
Hs5,28,-0.011808146371880105,-0.0006825944019636626
Hs5,29,-0.02355832836873256,-0.01744905951553442
Hs5,30,-0.0004203277811866628,0.006878782660901777
Hs7,0,1.0,1.0
Hs7,1,0.2354898583795618,0.2354898583795618
Hs7,2,0.11667877689810213,0.06481780559232328
Hs7,3,0.4237077284206336,0.40692940661951016
Hs7,4,0.17017513960859404,-0.0062367226391212924
Hs7,5,-0.014823226243527087,-0.10680892200043457
Hs7,6,0.02067677657918657,-0.1649351053525491
Hs7,7,0.05585782460193467,0.01602403618901973
Hs7,8,0.011966772211995744,0.07181746720273553
Hs7,9,-0.012842799942932918,0.061777773783738305
Hs7,10,-0.004931460949289379,-0.027386804992523318
Hs7,11,-0.003938158365225412,-0.05291606117219054
Hs7,12,-0.006759873595706146,-0.02379298547426433
Hs7,13,-0.007806430720461663,0.020450029539485003
Hs7,14,-0.005303721270188412,0.029074030403013002
Hs7,15,-0.00879278998839544,-0.0012099875964185448
Hs7,16,-0.012884966518638252,-0.02638635305429024
Hs7,17,-0.012767928337798445,-0.024002332098309046
Hs7,18,-0.010854748663168651,0.00030613217546976315
Hs7,19,-0.010456889000069577,0.014335792337142989
Hs7,20,-0.01867118071055243,-0.0028039295384385847
Hs7,21,-0.018114135760986323,-0.015386037722977029
Hs7,22,-0.006072641449953712,-0.0056889548363658286
Hs7,23,-0.018732404191017512,-0.010771317064308337
Hs7,24,-0.01176532507522048,0.012079024494598006
Hs7,25,-0.00798081759593341,-0.0019530997127895104
Hs7,26,-0.01035039482813301,-0.0011336463242001807
Hs7,27,-0.012859000125614273,-0.015050975378940172
Hs7,28,-0.0028943660409855147,0.0049934346262022825
Hs7,29,-0.008656168886341005,-0.00474369846545367
Hs7,30,-0.008378484535121572,0.005691201384458275
